brand,price,title,image,alt_text
OLYMPIKUS,"R$209,99",Tênis De Corrida Masculino Voa 2 Olympikus,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Tênis De Corrida Masculino Voa 2 Olympikus
FILA,"R$244,90",Tênis Masculino Progress Lite Fila,https://http2.mlstatic.com/D_Q_NP_2X_973796-MLA83481691989_042025-E.webp,Tênis Masculino Progress Lite Fila
ADIDAS,"R$350,86",Tênis Esportivo Masculino Questar 3 adidas,https://http2.mlstatic.com/D_Q_NP_2X_795541-MLA81708868534_012025-E.webp,Tênis Esportivo Masculino Questar 3 adidas
PUMA,"R$209,99",Tênis Flyer Runner Mesh Bdp Puma,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Tênis Flyer Runner Mesh Bdp Puma
OLYMPIKUS,"R$129,99",Olympikus Delta Masculino Adultos,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Olympikus Delta Masculino Adultos
OLYMPIKUS,"R$209,99",Olympikus CORRIDA Voa 2 Masculino Adultos,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Olympikus CORRIDA Voa 2 Masculino Adultos
OLYMPIKUS,"R$170,99",Olympikus Treino ASFALTO Masculino Adultos,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Olympikus Treino ASFALTO Masculino Adultos
ADIDAS,"R$424,99",Tênis Feminino Duramo Speed 2 adidas,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Tênis Feminino Duramo Speed 2 adidas
OLYMPIKUS,"R$239,99",Olympikus CORRIDA Neblina Masculino Adultos 43779235_1-004,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Olympikus CORRIDA Neblina Masculino Adultos 43779235_1-004
KAPPA,"R$189,99",Tênis Kappa Pulse Masculino Academia Corrida Confortável,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Tênis Kappa Pulse Masculino Academia Corrida Confortável
ASICS,"R$89,90",Tênis Asics Revelation Original Couro Leve Treino academia,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Tênis Asics Revelation Original Couro Leve Treino academia
PUMA,"R$209,99",Tênis Flyer Runner Mesh Bdp Puma,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Tênis Flyer Runner Mesh Bdp Puma
OLYMPIKUS,"R$149,99",Olympikus Treino Venum Sem gênero Adultos,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Olympikus Treino Venum Sem gênero Adultos
NIKE,"R$349,99",Tênis Nike Run Defy Masculino,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Tênis Nike Run Defy Masculino
NEW SPEED,"R$178,74",Tênis New Speed Esporte Masculino 100% Original Caminhada,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Tênis New Speed Esporte Masculino 100% Original Caminhada
ADIDAS,"R$274,11",Tênis De Corrida Masculino Galaxy 7 adidas,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Tênis De Corrida Masculino Galaxy 7 adidas
FILA,"R$548,06",Tenis Masculino Fila Corrida Tecnologia De Amortecimento Top,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Tenis Masculino Fila Corrida Tecnologia De Amortecimento Top
FILA,"R$244,90",Tênis Masculino Progress Lite Fila,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Tênis Masculino Progress Lite Fila
ASICS,"R$89,90",Tênis Asics Academia Corrida Treino Macio Garantia envio ja,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Tênis Asics Academia Corrida Treino Macio Garantia envio ja
ASICS,"R$89,90",Tênis Asics Gel Revelation Original Couro Academia Caminhada,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Tênis Asics Gel Revelation Original Couro Academia Caminhada
ASICS,"R$119,99",Tênis Asics Gel Sendai 33 A 43 Academia Corrida Treino Macio,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Tênis Asics Gel Sendai 33 A 43 Academia Corrida Treino Macio
UNDER ARMOUR,"R$293,99",Tênis Masculino E Feminino Quicker Under Armour,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Tênis Masculino E Feminino Quicker Under Armour
,"R$49,71",Sapatilha Aquatica Preta Secarapido Sola Forte Confort Leve,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sapatilha Aquatica Preta Secarapido Sola Forte Confort Leve
NIKE,"R$299,99",Tênis Nike Revolution 7 Infantil,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Tênis Nike Revolution 7 Infantil
,"R$57,08",Tenis Masculino Academia Corrida Caminhada Leve Barato,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Tenis Masculino Academia Corrida Caminhada Leve Barato
OLYMPIKUS,"R$129,99",Olympikus Casual Only 2 Sem gênero Adultos,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Olympikus Casual Only 2 Sem gênero Adultos
MOSCARDINI,"R$52,90",Sapatilha Aquatica Neoprene Secarapido Sola Forte Confort,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sapatilha Aquatica Neoprene Secarapido Sola Forte Confort
OLYMPIKUS,"R$152,99",Olympikus Only 2 Masculino Adultos 437119023012,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Olympikus Only 2 Masculino Adultos 437119023012
,"R$64,90",Tênis Academia Masculino Corrida Caminhada Esporte Dia A Dia,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Tênis Academia Masculino Corrida Caminhada Esporte Dia A Dia
DM DAMANDO,"R$69,65",Tenis Masculino Confortavel/academia/crossfit + Relógio,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Tenis Masculino Confortavel/academia/crossfit + Relógio
OLYMPIKUS,R$191,Tênis Olympikus Fluir Cinza,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Tênis Olympikus Fluir Cinza
,"R$147,95",Kit Combo 2 Tenis Masculino Academia Caminhada Corrida Top,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Kit Combo 2 Tenis Masculino Academia Caminhada Corrida Top
KAPPA,"R$189,99",Tênis Kappa Pulse Masculino Academia Corrida Confortável,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Tênis Kappa Pulse Masculino Academia Corrida Confortável
,"R$99,99",Tênis Masculino Academia Corrida Treino Esportivo Olympks,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Tênis Masculino Academia Corrida Treino Esportivo Olympks
ASICS,"R$89,90",Tênis Asics Revelation Original Couro Leve Treino academia,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Tênis Asics Revelation Original Couro Leve Treino academia
OLYMPIKUS,"R$241,96",Olympikus Treino Dynamic Masculino Adultos,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Olympikus Treino Dynamic Masculino Adultos
YES BASIC,"R$53,65",Sapatilha Aquática Neoprene Flexível Praia Natação + Relógio,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sapatilha Aquática Neoprene Flexível Praia Natação + Relógio
,"R$67,88",Tenis Polo Running Caminhada Masculino  Academia Super Leve,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Tenis Polo Running Caminhada Masculino  Academia Super Leve
OLYMPIKUS,"R$239,99",Tênis Masculino Neblina Olympikus Novo,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Tênis Masculino Neblina Olympikus Novo
OLYMPIKUS,"R$209,99",Tênis De Corrida Masculino Voa 2 Olympikus,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Tênis De Corrida Masculino Voa 2 Olympikus
FILA,"R$215,84",Tenis Fila Efecto Masculino Caminhada Corrida Mesh Original,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Tenis Fila Efecto Masculino Caminhada Corrida Mesh Original
PROSPECT,"R$44,73",Tênis Masculino Prospect Fly Academia Esporte Corrida Leve,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Tênis Masculino Prospect Fly Academia Esporte Corrida Leve
ADIDAS,"R$899,90",Tênis adidas Adizero Drive Rc Azul,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Tênis adidas Adizero Drive Rc Azul
NEW SPEED,"R$175,76",Tênis Masculino New Speed R Sport Academia Crossfit,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Tênis Masculino New Speed R Sport Academia Crossfit
UNDER ARMOUR,"R$215,92",Under Armour Pacer Masculino Adultos,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Under Armour Pacer Masculino Adultos
NEW BALANCE,"R$287,99",New Balance M460V4 V4 Masculino M460V4,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",New Balance M460V4 V4 Masculino M460V4
ADIDAS,"R$318,99",Tênis Esportivo Masculino Galaxy 7 adidas,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Tênis Esportivo Masculino Galaxy 7 adidas
NEW BALANCE,"R$929,07",New Balance Rebel V4 Masculino REBEL V4,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",New Balance Rebel V4 Masculino REBEL V4
