alt_text,brand,image_path,image_url,is_base64,link,price,title
Tênis Nike Run Defy Masculino,NIKE,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$332,49",Tênis Nike Run Defy Masculino
Tênis Masculino Olymp Olimp Space Caminhada Barato Promoção,,images\Tênis-Masculino-Olymp-Olimp-Space-Caminhada-Barato_1ecbb121.webp,https://http2.mlstatic.com/D_Q_NP_2X_676156-MLB74284527185_012024-E-tnis-masculino-olymp-olimp-space-caminhada-barato-promoco.webp,False,,"R$71,01",Tênis Masculino Olymp Olimp Space Caminhada Barato Promoção
Tênis Fila Racer Speedzone Masculino,FILA,images\Tênis-Fila-Racer-Speedzone-Masculino_d8ac9f46.webp,https://http2.mlstatic.com/D_Q_NP_2X_840160-MLB78433426458_082024-E-tnis-fila-racer-speedzone-masculino.webp,False,,"R$599,90",Tênis Fila Racer Speedzone Masculino
Tênis Nike Run Defy Masculino,NIKE,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$332,49",Tênis Nike Run Defy Masculino
Sapatos De Caminhada Masculinos,,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$152,55",Sapatos De Caminhada Masculinos
Olympikus CORRIDA Neblina Masculino Adultos 43779235_1-004,OLYMPIKUS,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$209,99",Olympikus CORRIDA Neblina Masculino Adultos 43779235_1-004
Tênis De Treino Masculino Estilo 2 Com Cano Baixo Olympikus,OLYMPIKUS,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$179,99",Tênis De Treino Masculino Estilo 2 Com Cano Baixo Olympikus
Tênis Masculino Olymp Olimp Space Caminhada Barato Promoção,,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$71,01",Tênis Masculino Olymp Olimp Space Caminhada Barato Promoção
New Balance Fresh Foam 680v8 Masculino M680V8,NEW BALANCE,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$425,99",New Balance Fresh Foam 680v8 Masculino M680V8
Tênis Flyer Runner Mesh Bdp Puma,PUMA,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$215,99",Tênis Flyer Runner Mesh Bdp Puma
Olympikus CORRIDA Voa 2 Masculino Adultos,OLYMPIKUS,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$219,99",Olympikus CORRIDA Voa 2 Masculino Adultos
Tênis De Corrida Masculino Runfalcon 5 Forro Têxtil adidas,ADIDAS,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$285,07",Tênis De Corrida Masculino Runfalcon 5 Forro Têxtil adidas
Sapatilha Aquatica Preta Secarapido Sola Forte Confort Leve,,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$49,11",Sapatilha Aquatica Preta Secarapido Sola Forte Confort Leve
